date,Personnel
01/03/2022,410
02/03/2022,130
03/03/2022,760
04/03/2022,150
05/03/2022,850
06/03/2022,1000
07/03/2022,600
08/03/2022,400
09/03/2022,500
10/03/2022,500
11/03/2022,500
12/03/2022,300
13/03/2022,100
14/03/2022,200
15/03/2022,1200
16/03/2022,300
17/03/2022,200
18/03/2022,200
19/03/2022,200
20/03/2022,300
21/03/2022,300
22/03/2022,300
23/03/2022,300
24/03/2022,200
25/03/2022,300
26/03/2022,300
27/03/2022,500
28/03/2022,400
29/03/2022,200
30/03/2022,100
31/03/2022,200
01/04/2022,200
02/04/2022,100
03/04/2022,200
04/04/2022,300
05/04/2022,200
06/04/2022,100
07/04/2022,300
08/04/2022,100
09/04/2022,100
10/04/2022,200
11/04/2022,200
12/04/2022,100
13/04/2022,200
14/04/2022,100
15/04/2022,100
16/04/2022,100
17/04/2022,200
18/04/2022,300
19/04/2022,200
20/04/2022,100
21/04/2022,100
22/04/2022,200
23/04/2022,400
24/04/2022,200
25/04/2022,100
26/04/2022,200
27/04/2022,300
28/04/2022,400
29/04/2022,200
30/04/2022,200
01/05/2022,300
02/05/2022,300
03/05/2022,400
04/05/2022,300
05/05/2022,200
06/05/2022,200
07/05/2022,200
08/05/2022,400
09/05/2022,150
10/05/2022,350
11/05/2022,350
12/05/2022,300
13/05/2022,250
14/05/2022,300
15/05/2022,200
16/05/2022,300
17/05/2022,200
18/05/2022,400
19/05/2022,200
20/05/2022,200
21/05/2022,150
22/05/2022,200
23/05/2022,150
24/05/2022,150
25/05/2022,100
26/05/2022,150
27/05/2022,150
28/05/2022,250
29/05/2022,150
30/05/2022,200
31/05/2022,150
01/06/2022,200
02/06/2022,150
03/06/2022,100
04/06/2022,100
05/06/2022,100
06/06/2022,100
07/06/2022,110
08/06/2022,140
09/06/2022,200
10/06/2022,200
11/06/2022,150
12/06/2022,100
13/06/2022,150
14/06/2022,200
15/06/2022,250
16/06/2022,200
17/06/2022,200
18/06/2022,200
19/06/2022,250
20/06/2022,200
21/06/2022,300
22/06/2022,130
23/06/2022,200
24/06/2022,100
25/06/2022,170
26/06/2022,150
27/06/2022,150
28/06/2022,250
29/06/2022,200
30/06/2022,150
01/07/2022,150
02/07/2022,120
03/07/2022,100
04/07/2022,230
05/07/2022,150
06/07/2022,150
07/07/2022,150
08/07/2022,250
09/07/2022,300
10/07/2022,100
11/07/2022,100
12/07/2022,70
13/07/2022,100
14/07/2022,300
15/07/2022,130
16/07/2022,140
17/07/2022,160
18/07/2022,150
19/07/2022,100
20/07/2022,200
21/07/2022,100
22/07/2022,150
23/07/2022,240
24/07/2022,280
25/07/2022,180
26/07/2022,170
27/07/2022,200
28/07/2022,160
29/07/2022,270
30/07/2022,170
31/07/2022,160
01/08/2022,200
02/08/2022,140
03/08/2022,180
04/08/2022,150
05/08/2022,150
06/08/2022,250
07/08/2022,300
08/08/2022,140
09/08/2022,300
10/08/2022,160
11/08/2022,200
12/08/2022,200
13/08/2022,200
14/08/2022,150
15/08/2022,200
16/08/2022,150
17/08/2022,200
18/08/2022,200
19/08/2022,400
20/08/2022,200
21/08/2022,300
22/08/2022,200
23/08/2022,150
24/08/2022,150
25/08/2022,150
26/08/2022,400
27/08/2022,250
28/08/2022,250
29/08/2022,350
30/08/2022,450
31/08/2022,350
01/09/2022,450
02/09/2022,350
03/09/2022,350
04/09/2022,450
05/09/2022,300
06/09/2022,350
07/09/2022,460
08/09/2022,640
09/09/2022,650
10/09/2022,350
11/09/2022,400
12/09/2022,300
13/09/2022,350
14/09/2022,350
15/09/2022,200
16/09/2022,200
17/09/2022,200
18/09/2022,230
19/09/2022,170
20/09/2022,160
21/09/2022,300
22/09/2022,400
23/09/2022,550
24/09/2022,240
25/09/2022,400
26/09/2022,500
27/09/2022,550
28/09/2022,400
29/09/2022,430
30/09/2022,500
01/10/2022,530
02/10/2022,500
03/10/2022,320
04/10/2022,370
05/10/2022,200
06/10/2022,330
07/10/2022,350
08/10/2022,380
09/10/2022,440
10/10/2022,370
11/10/2022,240
12/10/2022,270
13/10/2022,420
14/10/2022,500
15/10/2022,400
16/10/2022,300
17/10/2022,320
18/10/2022,530
19/10/2022,430
20/10/2022,370
21/10/2022,100
22/10/2022,320
23/10/2022,400
24/10/2022,470
25/10/2022,480
26/10/2022,480
27/10/2022,320
28/10/2022,480
29/10/2022,550
30/10/2022,950
31/10/2022,620
01/11/2022,650
02/11/2022,800
03/11/2022,730
04/11/2022,840
05/11/2022,600
06/11/2022,490
